GEO,INDIC_DE\TIME	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020
Union européenne - 27 pays (à partir de 2020),Population au 1er janvier - totale	354.531.754	357.404.302	360.431.043	364.153.147	367.355.615	370.521.157	373.443.503	376.321.214	379.076.041	381.626.236	384.326.562	385.949.080	388.592.631	391.211.759	393.658.199	395.835.667	398.037.111	399.967.581	401.903.104	403.662.165	405.466.907	407.369.042	408.894.651	410.107.692	411.006.427	411.907.502	412.876.239	414.088.076	415.218.942	416.715.205	418.030.739	419.504.036 b	420.413.536	421.912.578	423.104.986	423.960.534	424.641.798	425.273.491	427.482.962 b	427.998.269	428.473.834 b	429.240.746 b	429.723.142	431.190.184	432.762.039	434.416.272	435.816.236	437.227.496	438.725.386 b	440.047.892	440.660.421 b	439.942.305 b	440.552.661 b	441.257.711	442.883.888 b	443.666.812 b	444.802.830	445.534.430 b	446.098.424 p	446.824.564 ep	447.706.209 ep
Union européenne - 28 pays (2013-2020),Population au 1er janvier - totale	406.731.754	410.004.302	413.431.043	417.653.147	421.155.615	424.721.157	427.939.603	431.122.114	434.162.341	436.963.336	439.872.962	441.729.180	444.604.976	447.371.544	449.887.467	452.066.347	454.258.031	456.170.597	458.087.072	459.871.204	461.751.770	463.712.611	465.218.739	466.410.886	467.368.929	468.389.143	469.495.134	470.831.973	472.079.145	473.711.655	475.187.711	476.842.235 b	477.925.130	479.561.788	480.893.003	481.904.006	482.736.385	483.512.803	485.877.558 b	486.577.954	487.259.080 b	488.240.527 b	488.962.706	490.691.578	492.555.798	494.598.322	496.436.597	498.300.775	500.297.033 b	502.090.235	503.170.618 b	502.964.837 b	504.047.749 b	505.163.053	507.235.091 b	508.520.205 b	510.181.874	511.378.572 b	512.372.000 p	513.471.676 ep	:
Union européenne - 27 pays (2007-2013),Population au 1er janvier - totale	402.604.332	405.851.363	409.249.398	413.441.369	416.916.043	420.454.977	423.643.938	426.796.378	429.810.712	432.583.709	435.469.610	437.308.029	440.163.577	442.911.815	445.406.875	447.565.620	449.734.595	451.622.165	453.516.363	455.279.744	457.153.675	459.111.142	460.597.191	461.763.965	462.699.342	463.698.160	464.783.282	466.100.932	467.330.695	468.949.690	470.415.155	472.060.056 b	473.329.265	475.006.017	476.247.848	477.245.113	478.155.218	478.979.775	481.340.746 b	482.050.494	482.761.345 b	483.945.121 b	484.657.212	486.386.194	488.250.073	490.287.461	492.124.110	493.987.245	495.985.066 b	497.780.439	498.867.771 b	498.674.980 b	499.771.765 b	500.900.913	502.988.282 b	504.294.889 b	505.991.205	507.224.359 b	508.266.507 p	509.395.430 ep	510.673.586 ep
Zone euro - 19 pays (à partir de 2015),Population au 1er janvier - totale	263.140.292	265.392.392	267.691.048	270.714.128	273.072.410	275.430.651	277.770.462	279.854.101	281.656.968	283.567.243	285.508.883	286.798.638	288.805.979	290.757.638	292.519.316	293.874.224	295.212.458	296.348.308	297.555.091	298.772.287	300.026.000	301.426.708	302.419.395	303.140.259	303.600.009	304.049.567	304.640.663	305.452.191	306.227.897	307.433.114	308.841.704	310.262.295 b	311.610.504	313.111.944	314.121.560	314.879.272	315.679.276	316.448.320	318.755.544 b	319.373.924	320.375.247	321.447.131 b	322.819.636	324.573.948	326.314.018	328.141.448	329.684.938	331.204.579	333.096.775 b	334.470.255	335.266.424	334.572.589 b	335.288.924 b	336.044.966	337.764.352 b	338.562.121 b	339.787.987	340.541.142 b	341.145.721 p	341.902.187 ep	342.806.623 ep
Zone euro - 18 pays (2014),Population au 1er janvier - totale	260.384.692	262.590.892	264.845.448	267.833.028	270.155.610	272.477.051	274.781.162	276.827.301	278.594.968	280.471.543	282.389.942	283.638.201	285.608.334	287.528.040	289.260.039	290.585.714	291.897.664	293.005.775	294.187.553	295.380.797	296.621.806	298.004.498	298.975.711	299.669.586	300.100.298	300.520.869	301.080.275	301.854.752	302.592.602	303.758.312	305.147.996	306.560.327 b	307.904.205	309.418.015	310.450.264	311.236.281	312.064.064	312.860.307	315.193.283 b	315.837.523	316.863.173	317.960.133 b	319.364.999	321.142.451	322.915.089	324.786.228	326.395.103	327.954.596	329.884.170 b	331.286.399	332.124.448	331.520.001 b	332.285.283 b	333.073.061	334.820.880 b	335.640.859 b	336.899.429	337.693.238 b	338.336.820 p	339.108.003 ep	340.012.533 ep
Belgique,Population au 1er janvier - totale	9.128.824	9.178.154	9.189.741	9.251.414	9.328.126	9.428.100	9.499.234	9.556.380	9.605.601	9.631.910	9.660.154	9.650.944	9.695.379	9.726.850	9.756.590	9.788.248	9.813.152	9.823.302	9.837.413	9.841.654	9.855.110	9.863.374	9.854.589	9.858.017	9.853.023	9.857.721	9.858.895	9.864.751	9.875.716	9.927.612	9.947.782	9.986.975	10.021.997	10.068.319	10.100.631	10.130.574	10.143.047	10.170.226	10.192.264	10.213.752	10.239.085	10.263.414	10.309.725	10.355.844	10.396.421	10.445.852	10.511.382	10.584.534	10.666.866	10.753.080	10.839.905	11.000.638 b	11.075.889 b	11.137.974	11.180.840	11.237.274	11.311.117	11.351.727	11.398.589	11.455.519	11.549.888
Bulgarie,Population au 1er janvier - totale	7.829.246	7.905.502	7.980.734	8.045.158	8.111.132	8.177.547	8.230.788	8.285.325	8.335.126	8.404.080	8.464.264	8.514.883	8.557.906	8.594.493	8.647.440	8.710.049	8.731.434	8.785.763	8.822.602	8.805.462	8.846.417	8.876.652	8.905.581	8.929.332	8.950.144	8.971.214	8.949.880	8.966.462	8.976.255	8.986.636	8.767.308	8.669.269	8.595.465	8.484.863	8.459.763	8.427.418	8.384.715	8.340.936	8.283.200	8.230.371	8.190.876	8.149.468	7.868.815	7.805.506	7.745.147	7.688.573	7.629.371	7.572.673	7.518.002	7.467.119	7.421.766	7.369.431	7.327.224	7.284.552	7.245.677	7.202.198	7.153.784	7.101.859	7.050.034	7.000.039	6.951.482
Tchéquie,Population au 1er janvier - totale	9.637.840	9.566.172	9.607.129	9.642.191	9.699.179	9.756.429	9.802.287	9.839.792	9.866.006	9.886.686	9.906.474	9.809.667	9.843.962	9.891.302	9.953.230	10.023.688	10.093.551	10.158.327	10.215.183	10.269.012	10.315.669	10.292.717	10.308.465	10.321.186	10.326.526	10.333.900	10.340.335	10.344.119	10.350.517	10.360.034	10.362.102	10.304.607	10.312.548	10.325.697	10.334.013	10.333.161	10.321.344	10.309.137	10.299.125	10.289.621	10.278.098	10.232.027	10.201.182	10.192.649	10.195.347	10.198.855	10.223.577	10.254.233	10.343.422	10.425.783	10.462.088	10.486.731	10.505.445	10.516.125	10.512.419	10.538.275	10.553.843	10.578.820	10.610.055	10.649.800	10.693.939
Danemark,Population au 1er janvier - totale	4.565.455	4.593.750	4.629.624	4.665.829	4.703.136	4.741.008	4.777.015	4.817.746	4.852.962	4.876.803	4.906.916	4.950.598	4.975.653	5.007.538	5.036.184	5.054.410	5.065.313	5.079.879	5.096.959	5.111.537	5.122.065	5.123.989	5.119.155	5.116.464	5.112.130	5.111.108	5.116.273	5.124.794	5.129.254	5.129.778	5.135.409	5.146.469	5.162.126	5.180.614	5.196.642	5.215.718	5.251.027	5.275.121	5.294.860	5.313.577	5.330.020	5.349.212	5.368.354	5.383.507	5.397.640	5.411.405	5.427.459	5.447.084	5.475.791	5.511.451	5.534.738	5.560.628	5.580.516	5.602.628	5.627.235	5.659.715	5.707.251	5.748.769	5.781.190	5.806.081	5.822.763
Allemagne (jusqu'en 1990, ancien territoire de la RFA),Population au 1er janvier - totale	55.257.088	55.958.321	56.589.148	57.247.246	57.864.509	58.587.451	59.296.591	59.792.934	59.948.474	60.463.033	61.194.591	61.001.164	61.502.503	61.809.358	62.101.379	61.991.475	61.644.624	61.441.996	61.352.745	61.321.663	61.439.338	61.657.952	61.712.689	61.546.101	61.306.669	61.049.256	61.020.474	61.140.461	61.238.079	61.715.103	62.679.035	79.753.227 b	80.274.564	80.974.632	81.338.093	81.538.603	81.817.499	82.012.162	82.057.379	82.037.011	82.163.475	82.259.540	82.440.309	82.536.680	82.531.671	82.500.849	82.437.995	82.314.906	82.217.837	82.002.356	81.802.257	80.222.065 b	80.327.900	80.523.746	80.767.463	81.197.537	82.175.684	82.521.653	82.792.351	83.019.213	83.166.711
