GEO,NRG_BAL,SIEC,UNIT\TIME	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018
Union européenne - 27 pays (à partir de 2020),Énergie disponible brute,Total,Milliers de tonnes équivalent pétrole (TEP)	1.545.747,381	1.606.325,202	1.560.522,900	1.538.347,100	1.520.992,527	1.468.734,048	1.488.521,744	1.502.731,529	1.533.590,240	1.522.579,358
Union européenne - 28 pays (2013-2020),Énergie disponible brute,Total,Milliers de tonnes équivalent pétrole (TEP)	1.753.056,279	1.822.120,349	1.761.409,324	1.742.951,287	1.722.313,367	1.659.086,406	1.681.983,678	1.693.249,846	1.721.741,714	1.710.170,493
Zone euro - 19 pays (à partir de 2015),Énergie disponible brute,Total,Milliers de tonnes équivalent pétrole (TEP)	1.253.421,592	1.296.048,886	1.252.241,799	1.238.694,638	1.226.679,207	1.180.842,298	1.198.759,376	1.205.968,471	1.225.122,441	1.212.380,518
Belgique,Énergie disponible brute,Total,Milliers de tonnes équivalent pétrole (TEP)	63.916,596	68.878,716	64.267,405	60.990,365	63.316,171	59.435,943	59.865,503	63.826,559	64.476,211	64.311,555
Bulgarie,Énergie disponible brute,Total,Milliers de tonnes équivalent pétrole (TEP)	17.777,017	18.012,371	19.275,494	18.461,695	17.172,828	17.955,249	18.767,900	18.371,189	19.015,844	19.065,531
Tchéquie,Énergie disponible brute,Total,Milliers de tonnes équivalent pétrole (TEP)	42.842,864	45.598,608	43.787,110	43.470,359	43.724,432	42.204,844	42.367,216	41.965,914	43.464,680	43.551,717
Danemark,Énergie disponible brute,Total,Milliers de tonnes équivalent pétrole (TEP)	19.796,942	21.109,243	19.660,838	18.768,368	18.917,925	18.089,092	18.111,532	18.627,100	18.726,344	18.878,051
Allemagne (jusqu'en 1990, ancien territoire de la RFA),Énergie disponible brute,Total,Milliers de tonnes équivalent pétrole (TEP)	324.246,861	341.023,672	323.483,343	326.147,321	333.067,586	318.861,268	320.515,397	322.845,741	324.280,628	316.123,905
Estonie,Énergie disponible brute,Total,Milliers de tonnes équivalent pétrole (TEP)	5.065,497	5.883,157	5.858,413	5.903,896	6.553,084	6.130,248	5.720,664	6.270,932	6.062,175	6.587,317
Irlande,Énergie disponible brute,Total,Milliers de tonnes équivalent pétrole (TEP)	15.288,455	15.199,792	13.958,360	14.123,409	13.544,847	13.607,637	14.327,026	15.069,894	14.829,827	14.986,436
Grèce,Énergie disponible brute,Total,Milliers de tonnes équivalent pétrole (TEP)	32.939,655	31.055,252	30.289,595	29.511,649	26.189,334	25.858,953	25.871,426	25.374,184	26.528,764	26.009,424
Espagne,Énergie disponible brute,Total,Milliers de tonnes équivalent pétrole (TEP)	138.883,266	138.409,301	137.968,211	137.337,889	127.851,085	125.967,280	130.292,324	131.746,796	137.450,695	137.556,681
France,Énergie disponible brute,Total,Milliers de tonnes équivalent pétrole (TEP)	263.900,484	271.993,233	267.144,877	267.115,106	268.104,996	257.663,848	261.887,959	257.263,150	257.317,311	256.548,587
Croatie,Énergie disponible brute,Total,Milliers de tonnes équivalent pétrole (TEP)	9.574,728	9.477,160	9.281,553	8.729,197	8.558,851	8.154,755	8.506,639	8.583,124	8.886,493	8.698,082
Italie,Énergie disponible brute,Total,Milliers de tonnes équivalent pétrole (TEP)	174.923,555	179.819,191	173.688,362	166.908,125	160.570,376	151.758,638	157.629,547	156.490,332	161.815,269	159.714,330
Chypre,Énergie disponible brute,Total,Milliers de tonnes équivalent pétrole (TEP)	3.063,635	2.945,147	2.910,183	2.735,813	2.440,425	2.477,117	2.541,862	2.750,316	2.826,805	2.902,436
Lettonie,Énergie disponible brute,Total,Milliers de tonnes équivalent pétrole (TEP)	4.783,122	4.880,809	4.591,894	4.778,279	4.706,174	4.684,209	4.634,173	4.706,689	4.811,298	4.831,547
Lituanie,Énergie disponible brute,Total,Milliers de tonnes équivalent pétrole (TEP)	8.875,215	7.220,759	7.486,414	7.538,805	7.103,101	7.071,085	7.260,184	7.518,283	7.868,518	7.996,271
Luxembourg,Énergie disponible brute,Total,Milliers de tonnes équivalent pétrole (TEP)	4.369,008	4.646,083	4.569,610	4.460,606	4.336,773	4.224,372	4.180,149	4.194,145	4.330,748	4.508,736
Hongrie,Énergie disponible brute,Total,Milliers de tonnes équivalent pétrole (TEP)	25.840,354	26.592,419	26.062,623	24.771,026	23.919,922	23.823,234	25.203,244	25.584,731	26.702,693	26.712,287
