GEO,NRG_BAL,SIEC,UNIT\TIME	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018
Union européenne - 27 pays (à partir de 2020),Production brute d'électricité,Combustibles fossiles solides,Milliers de tonnes équivalent pétrole (TEP)	60.496,545	60.294,939	62.359,396	63.861,407	62.675,652	59.566,150	60.618,471	56.678,555	54.930,576	51.213,293
Union européenne - 28 pays (2013-2020),Production brute d'électricité,Combustibles fossiles solides,Milliers de tonnes équivalent pétrole (TEP)	69.356,132	69.546,358	71.683,730	76.139,395	73.875,738	68.185,153	67.142,824	59.315,580	56.867,846	52.660,533
Zone euro - 19 pays (à partir de 2015),Production brute d'électricité,Combustibles fossiles solides,Milliers de tonnes équivalent pétrole (TEP)	39.139,194	38.510,932	39.791,898	42.887,030	42.140,432	39.865,979	41.022,267	37.340,874	35.745,174	32.374,392
Belgique,Production brute d'électricité,Combustibles fossiles solides,Milliers de tonnes équivalent pétrole (TEP)	445,228	360,877	298,882	291,402	258,641	179,725	178,392	33,491	7,816	7,850
Bulgarie,Production brute d'électricité,Combustibles fossiles solides,Milliers de tonnes équivalent pétrole (TEP)	1.814,531	1.943,766	2.367,756	1.966,982	1.667,377	1.831,900	1.936,543	1.665,004	1.798,288	1.604,426
Tchéquie,Production brute d'électricité,Combustibles fossiles solides,Milliers de tonnes équivalent pétrole (TEP)	3.950,645	4.032,674	4.014,187	3.781,427	3.535,082	3.501,892	3.537,489	3.609,114	3.563,525	3.542,689
Danemark,Production brute d'électricité,Combustibles fossiles solides,Milliers de tonnes équivalent pétrole (TEP)	1.520,808	1.462,253	1.201,720	906,191	1.228,891	951,333	611,339	762,273	533,839	564,954
Allemagne (jusqu'en 1990, ancien territoire de la RFA),Production brute d'électricité,Combustibles fossiles solides,Milliers de tonnes équivalent pétrole (TEP)	21.792,347	22.605,073	22.568,358	23.751,333	24.780,911	23.595,013	23.404,987	22.506,019	20.744,110	19.617,885
Estonie,Production brute d'électricité,Combustibles fossiles solides,Milliers de tonnes équivalent pétrole (TEP)	0,000	0,000	0,000	0,000	1,118	0,516	0,000	0,000	1,513	0,000
Irlande,Production brute d'électricité,Combustibles fossiles solides,Milliers de tonnes équivalent pétrole (TEP)	344,309	305,651	339,189	432,017	368,233	340,219	419,126	403,754	313,376	185,011
Grèce,Production brute d'électricité,Combustibles fossiles solides,Milliers de tonnes équivalent pétrole (TEP)	2.939,639	2.648,065	2.670,937	2.675,752	2.270,507	2.213,758	1.900,860	1.623,646	1.613,500	1.477,657
Espagne,Production brute d'électricité,Combustibles fossiles solides,Milliers de tonnes équivalent pétrole (TEP)	3.087,704	2.178,332	3.781,599	4.735,512	3.434,308	3.766,724	4.416,681	3.132,760	3.880,224	3.210,748
France,Production brute d'électricité,Combustibles fossiles solides,Milliers de tonnes équivalent pétrole (TEP)	1.863,027	2.008,512	1.531,165	1.844,366	2.049,097	966,664	1.020,952	889,463	1.102,163	723,361
Croatie,Production brute d'électricité,Combustibles fossiles solides,Milliers de tonnes équivalent pétrole (TEP)	142,562	205,073	222,012	192,433	208,169	203,611	198,624	223,216	117,549	124,901
Italie,Production brute d'électricité,Combustibles fossiles solides,Milliers de tonnes équivalent pétrole (TEP)	3.417,455	3.416,509	3.845,744	4.225,365	3.878,332	3.736,371	3.714,617	3.061,651	2.805,454	2.447,968
Chypre,Production brute d'électricité,Combustibles fossiles solides,Milliers de tonnes équivalent pétrole (TEP)	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000
Lettonie,Production brute d'électricité,Combustibles fossiles solides,Milliers de tonnes équivalent pétrole (TEP)	0,172	0,172	0,172	0,172	0,086	0,000	0,000	0,000	0,018	0,029
Lituanie,Production brute d'électricité,Combustibles fossiles solides,Milliers de tonnes équivalent pétrole (TEP)	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000
Luxembourg,Production brute d'électricité,Combustibles fossiles solides,Milliers de tonnes équivalent pétrole (TEP)	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000
Hongrie,Production brute d'électricité,Combustibles fossiles solides,Milliers de tonnes équivalent pétrole (TEP)	545,142	536,028	557,438	545,486	541,702	515,477	497,850	484,265	424,076	401,462
Malte,Production brute d'électricité,Combustibles fossiles solides,Milliers de tonnes équivalent pétrole (TEP)	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000
Pays-Bas,Production brute d'électricité,Combustibles fossiles solides,Milliers de tonnes équivalent pétrole (TEP)	2.087,532	1.942,218	1.839,209	2.081,857	2.116,423	2.535,254	3.385,632	3.157,362	2.689,212	2.362,017
Autriche,Production brute d'électricité,Combustibles fossiles solides,Milliers de tonnes équivalent pétrole (TEP)	323,174	422,909	467,029	377,286	362,139	252,371	254,021	175,634	151,148	155,226
Pologne,Production brute d'électricité,Combustibles fossiles solides,Milliers de tonnes équivalent pétrole (TEP)	11.469,390	11.738,091	12.017,025	11.571,195	11.841,617	11.136,715	11.222,614	11.205,675	11.277,603	11.226,393
Portugal,Production brute d'électricité,Combustibles fossiles solides,Milliers de tonnes équivalent pétrole (TEP)	1.108,856	610,490	846,776	1.125,279	1.017,885	1.027,687	1.266,294	1.085,985	1.261,049	1.032,361
Roumanie,Production brute d'électricité,Combustibles fossiles solides,Milliers de tonnes équivalent pétrole (TEP)	1.869,991	1.778,246	2.130,868	1.969,132	1.456,234	1.527,343	1.558,469	1.365,520	1.442,835	1.345,271
Slovénie,Production brute d'électricité,Combustibles fossiles solides,Milliers de tonnes équivalent pétrole (TEP)	441,273	454,686	456,320	442,390	419,261	323,216	377,042	430,782	414,800	397,444
Slovaquie,Production brute d'électricité,Combustibles fossiles solides,Milliers de tonnes équivalent pétrole (TEP)	331,470	306,965	305,589	293,723	264,316	247,034	243,336	240,671	257,180	258,899
Finlande,Production brute d'électricité,Combustibles fossiles solides,Milliers de tonnes équivalent pétrole (TEP)	957,008	1.250,473	840,929	610,576	919,175	681,427	440,327	599,656	503,611	497,936
Suède,Production brute d'électricité,Combustibles fossiles solides,Milliers de tonnes équivalent pétrole (TEP)	44,282	87,876	56,492	41,531	56,148	31,900	33,276	22,614	27,687	28,805
Royaume-Uni,Production brute d'électricité,Combustibles fossiles solides,Milliers de tonnes équivalent pétrole (TEP)	8.859,587	9.251,419	9.324,334	12.277,988	11.200,086	8.619,003	6.524,353	2.637,025	1.937,270	1.447,240
Islande,Production brute d'électricité,Combustibles fossiles solides,Milliers de tonnes équivalent pétrole (TEP)	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000
Norvège,Production brute d'électricité,Combustibles fossiles solides,Milliers de tonnes équivalent pétrole (TEP)	3,525	3,611	3,353	3,353	3,439	3,267	3,353	3,611	3,697	3,794
Monténégro,Production brute d'électricité,Combustibles fossiles solides,Milliers de tonnes équivalent pétrole (TEP)	59,243	109,372	124,850	117,541	123,904	122,184	130,009	111,608	117,102	133,680
Macédoine du Nord,Production brute d'électricité,Combustibles fossiles solides,Milliers de tonnes équivalent pétrole (TEP)	456,148	407,825	444,454	415,477	346,088	321,324	283,319	248,773	291,181	244,907
