GEO,NRG_BAL,SIEC,UNIT\TIME	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018
Union européenne - 27 pays (à partir de 2020),Production brute d'électricité,Renouvelables et biocarburants,Milliers de tonnes équivalent pétrole (TEP)	51.552,228	58.628,867	57.692,693	65.027,849	71.850,431	74.476,702	75.990,530	77.295,623	77.694,057	83.301,821
Union européenne - 28 pays (2013-2020),Production brute d'électricité,Renouvelables et biocarburants,Milliers de tonnes équivalent pétrole (TEP)	54.039,770	61.150,949	60.970,325	68.829,735	76.675,722	80.272,653	83.326,362	84.567,113	86.284,800	92.814,199
Zone euro - 19 pays (à partir de 2015),Production brute d'électricité,Renouvelables et biocarburants,Milliers de tonnes équivalent pétrole (TEP)	39.937,608	45.552,691	44.857,780	50.520,665	57.496,442	58.724,171	58.598,098	61.083,460	60.968,477	66.595,788
Belgique,Production brute d'électricité,Renouvelables et biocarburants,Milliers de tonnes équivalent pétrole (TEP)	590,598	675,015	825,790	1.011,186	1.117,508	1.155,623	1.342,339	1.330,344	1.461,350	1.562,003
Bulgarie,Production brute d'électricité,Renouvelables et biocarburants,Milliers de tonnes équivalent pétrole (TEP)	369,767	552,364	404,867	522,468	657,027	683,273	795,487	664,894	584,347	823,384
Tchéquie,Production brute d'électricité,Renouvelables et biocarburants,Milliers de tonnes équivalent pétrole (TEP)	447,811	558,406	683,277	756,345	878,193	879,079	919,719	910,213	927,885	900,766
Danemark,Production brute d'électricité,Renouvelables et biocarburants,Milliers de tonnes équivalent pétrole (TEP)	865,262	1.068,717	1.219,334	1.275,772	1.372,977	1.546,318	1.628,293	1.581,258	1.875,581	1.785,530
Allemagne (jusqu'en 1990, ancien territoire de la RFA),Production brute d'électricité,Renouvelables et biocarburants,Milliers de tonnes équivalent pétrole (TEP)	8.735,082	9.594,153	11.167,498	12.823,474	13.596,131	14.478,332	16.741,702	16.789,338	19.116,767	19.857,008
Estonie,Production brute d'électricité,Renouvelables et biocarburants,Milliers de tonnes équivalent pétrole (TEP)	46,459	89,758	101,438	126,954	104,864	119,408	129,114	131,013	154,875	171,006
Irlande,Production brute d'électricité,Renouvelables et biocarburants,Milliers de tonnes équivalent pétrole (TEP)	383,855	335,825	466,345	470,167	513,527	573,622	700,739	671,143	780,980	897,003
Grèce,Production brute d'électricité,Renouvelables et biocarburants,Milliers de tonnes équivalent pétrole (TEP)	727,088	906,852	722,921	889,001	1.237,105	1.058,236	1.281,376	1.282,454	1.193,319	1.389,930
Espagne,Production brute d'électricité,Renouvelables et biocarburants,Milliers de tonnes équivalent pétrole (TEP)	6.606,277	8.682,992	7.724,592	7.788,360	9.939,208	9.808,213	8.625,649	9.295,161	7.796,389	9.144,798
France,Production brute d'électricité,Renouvelables et biocarburants,Milliers de tonnes équivalent pétrole (TEP)	6.417,020	7.137,404	6.119,954	7.750,414	8.979,710	8.577,690	8.322,338	8.930,284	8.405,001	10.206,624
Croatie,Production brute d'électricité,Renouvelables et biocarburants,Milliers de tonnes équivalent pétrole (TEP)	651,132	808,647	465,793	466,376	806,644	864,475	659,878	736,785	629,063	848,263
Italie,Production brute d'électricité,Renouvelables et biocarburants,Milliers de tonnes équivalent pétrole (TEP)	6.325,070	6.900,625	7.299,712	8.099,869	9.794,199	10.523,626	9.487,207	9.445,147	9.090,595	9.985,469
Chypre,Production brute d'électricité,Renouvelables et biocarburants,Milliers de tonnes équivalent pétrole (TEP)	2,640	6,298	15,323	22,084	28,118	27,250	34,372	36,514	37,421	41,052
Lettonie,Production brute d'électricité,Renouvelables et biocarburants,Milliers de tonnes équivalent pétrole (TEP)	305,681	312,548	264,597	353,377	303,820	240,964	238,798	299,363	469,622	300,825
Lituanie,Production brute d'électricité,Renouvelables et biocarburants,Milliers de tonnes équivalent pétrole (TEP)	120,286	143,248	145,188	145,881	178,272	189,129	202,444	230,898	268,007	235,013
Luxembourg,Production brute d'électricité,Renouvelables et biocarburants,Milliers de tonnes équivalent pétrole (TEP)	85,527	140,014	112,922	117,728	121,162	125,383	160,117	160,786	166,527	165,818
Hongrie,Production brute d'électricité,Renouvelables et biocarburants,Milliers de tonnes équivalent pétrole (TEP)	248,900	259,629	232,863	227,486	239,664	270,972	277,667	280,149	299,398	322,700
Malte,Production brute d'électricité,Renouvelables et biocarburants,Milliers de tonnes équivalent pétrole (TEP)	0,000	0,058	0,851	2,206	3,048	6,439	8,744	11,715	14,791	17,075
Pays-Bas,Production brute d'électricité,Renouvelables et biocarburants,Milliers de tonnes équivalent pétrole (TEP)	931,644	962,740	1.059,345	1.073,152	1.040,914	1.001,505	1.176,696	1.270,585	1.499,269	1.623,759
Autriche,Production brute d'électricité,Renouvelables et biocarburants,Milliers de tonnes équivalent pétrole (TEP)	4.294,920	4.143,882	3.822,112	4.748,239	4.664,912	4.644,253	4.386,648	4.653,458	4.723,709	4.609,975
Pologne,Production brute d'électricité,Renouvelables et biocarburants,Milliers de tonnes équivalent pétrole (TEP)	797,763	985,122	1.166,572	1.488,156	1.515,417	1.753,492	2.002,327	2.002,545	2.114,914	1.894,634
Portugal,Production brute d'électricité,Renouvelables et biocarburants,Milliers de tonnes équivalent pétrole (TEP)	1.635,078	2.472,105	2.122,934	1.754,966	2.631,972	2.786,235	2.193,535	2.880,145	2.090,102	2.634,305
Roumanie,Production brute d'électricité,Renouvelables et biocarburants,Milliers de tonnes équivalent pétrole (TEP)	1.360,804	1.776,428	1.421,408	1.306,694	1.762,583	2.373,200	2.285,007	2.362,575	2.118,726	2.289,569
Slovénie,Production brute d'électricité,Renouvelables et biocarburants,Milliers de tonnes équivalent pétrole (TEP)	421,912	424,135	345,953	388,389	464,614	592,044	398,806	458,924	405,883	466,487
Slovaquie,Production brute d'électricité,Renouvelables et biocarburants,Milliers de tonnes équivalent pétrole (TEP)	442,525	544,621	461,495	499,570	573,603	557,352	542,648	591,230	587,360	524,076
Finlande,Production brute d'électricité,Renouvelables et biocarburants,Milliers de tonnes équivalent pétrole (TEP)	1.865,946	2.080,418	2.078,810	2.455,648	2.203,755	2.258,867	2.624,826	2.614,958	2.706,510	2.763,562
Suède,Production brute d'électricité,Renouvelables et biocarburants,Milliers de tonnes équivalent pétrole (TEP)	6.873,181	7.066,863	7.240,799	8.463,887	7.121,484	7.381,722	8.824,054	7.673,744	8.175,666	7.841,187
Royaume-Uni,Production brute d'électricité,Renouvelables et biocarburants,Milliers de tonnes équivalent pétrole (TEP)	2.487,542	2.522,082	3.277,632	3.801,886	4.825,291	5.795,951	7.335,832	7.271,490	8.590,743	9.512,378
Islande,Production brute d'électricité,Renouvelables et biocarburants,Milliers de tonnes équivalent pétrole (TEP)	1.447,374	1.466,673	1.479,648	1.508,691	1.557,233	1.558,024	1.616,050	1.594,676	1.654,037	1.704,891
Norvège,Production brute d'électricité,Renouvelables et biocarburants,Milliers de tonnes équivalent pétrole (TEP)	10.944,196	10.179,278	10.591,144	12.440,585	11.261,909	11.922,614	12.142,820	12.533,620	12.573,087	12.346,615
Monténégro,Production brute d'électricité,Renouvelables et biocarburants,Milliers de tonnes équivalent pétrole (TEP)	178,074	236,457	103,513	127,007	215,320	150,615	128,203	158,486	96,380	193,981
Macédoine du Nord,Production brute d'électricité,Renouvelables et biocarburants,Milliers de tonnes équivalent pétrole (TEP)	109,230	209,071	123,327	89,734	136,975	111,063	174,444	177,692	111,441	169,006
Albanie,Production brute d'électricité,Renouvelables et biocarburants,Milliers de tonnes équivalent pétrole (TEP)	447,206	650,645	355,288	406,277	598,366	406,229	506,879	669,106	389,181	735,467
Serbie,Production brute d'électricité,Renouvelables et biocarburants,Milliers de tonnes équivalent pétrole (TEP)	958,212	1.080,911	794,755	852,966	934,910	1.001,290	930,095	996,733	850,280	1.002,437
Turquie,Production brute d'électricité,Renouvelables et biocarburants,Milliers de tonnes équivalent pétrole (TEP)	3.279,547	4.790,449	4.995,672	5.607,654	5.951,859	4.525,253	7.193,311	7.759,618	7.500,897	8.406,527
Bosnie-Herzégovine,Production brute d'électricité,Renouvelables et biocarburants,Milliers de tonnes équivalent pétrole (TEP)	:	:	:	:	:	510,318	477,300	487,069	345,142	571,883
Kosovo (selon la résolution 1244/99 du Conseil de sécurité des Nations Unies),Production brute d'électricité,Renouvelables et biocarburants,Milliers de tonnes équivalent pétrole (TEP)	10,318	13,500	9,020	8,218	12,322	13,015	12,062	21,110	15,495	26,177
Moldavie,Production brute d'électricité,Renouvelables et biocarburants,Milliers de tonnes équivalent pétrole (TEP)	0,000	6,793	6,535	2,914	4,127	6,404	5,839	4,971	6,879	8,598
Ukraine,Production brute d'électricité,Renouvelables et biocarburants,Milliers de tonnes équivalent pétrole (TEP)	1.041,935	1.151,419	962,984	1.010,249	1.356,991	946,741	746,036	935,864	1.070,610	1.255,503
Géorgie,Production brute d'électricité,Renouvelables et biocarburants,Milliers de tonnes équivalent pétrole (TEP)	:	:	:	:	711,196	716,710	726,893	802,944	799,501	862,743
