GEO,NRG_BAL,SIEC,UNIT\TIME	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018
Union européenne - 27 pays (à partir de 2020),Production brute d'électricité,Total,Milliers de tonnes équivalent pétrole (TEP)	244.415,946	256.256,793	252.559,704	252.297,715	250.738,370	245.607,203	249.554,191	251.385,363	254.161,138	252.920,496
Union européenne - 28 pays (2013-2020),Production brute d'électricité,Total,Milliers de tonnes équivalent pétrole (TEP)	276.811,058	289.108,889	284.200,638	283.585,663	281.545,700	274.678,627	278.624,390	280.429,187	283.060,838	281.359,242
Zone euro - 19 pays (à partir de 2015),Production brute d'électricité,Total,Milliers de tonnes équivalent pétrole (TEP)	196.495,458	205.466,311	201.240,068	200.843,565	200.335,625	195.145,509	198.230,875	200.540,855	201.942,440	200.574,261
Belgique,Production brute d'électricité,Total,Milliers de tonnes équivalent pétrole (TEP)	7.837,577	8.162,939	7.747,746	7.110,535	7.142,193	6.209,733	5.963,474	7.333,482	7.413,981	6.415,090
Bulgarie,Production brute d'électricité,Total,Milliers de tonnes équivalent pétrole (TEP)	3.692,897	4.010,194	4.365,744	4.068,211	3.763,441	4.081,811	4.230,655	3.890,260	3.919,070	4.025,400
Tchéquie,Production brute d'électricité,Total,Milliers de tonnes équivalent pétrole (TEP)	7.066,699	7.379,137	7.514,188	7.510,245	7.466,746	7.399,811	7.206,351	7.155,123	7.476,084	7.558,639
Danemark,Production brute d'électricité,Total,Milliers de tonnes équivalent pétrole (TEP)	3.128,375	3.341,539	3.029,159	2.639,821	2.987,341	2.767,293	2.488,446	2.625,830	2.669,108	2.611,916
Allemagne (jusqu'en 1990, ancien territoire de la RFA),Production brute d'électricité,Total,Milliers de tonnes équivalent pétrole (TEP)	51.125,107	54.259,501	52.538,521	53.868,788	54.766,638	53.807,653	55.587,618	55.766,208	56.063,801	55.167,068
Estonie,Production brute d'électricité,Total,Milliers de tonnes équivalent pétrole (TEP)	754,800	1.114,693	1.108,660	1.028,932	1.141,408	1.070,139	895,666	1.047,780	1.110,704	1.062,752
Irlande,Production brute d'électricité,Total,Milliers de tonnes équivalent pétrole (TEP)	2.434,530	2.437,941	2.335,686	2.352,110	2.228,754	2.243,085	2.441,155	2.623,642	2.654,581	2.677,024
Grèce,Production brute d'électricité,Total,Milliers de tonnes équivalent pétrole (TEP)	5.276,443	4.934,797	5.110,625	5.241,538	4.914,233	4.339,922	4.460,396	4.680,820	4.752,028	4.579,775
Espagne,Production brute d'électricité,Total,Milliers de tonnes équivalent pétrole (TEP)	25.303,439	25.913,001	25.251,591	25.570,389	24.559,909	23.968,164	24.135,477	23.616,962	23.700,344	23.590,542
