code	libelle
PPRD 	Production primaire
RCV_RCY 	Produits récupérés et recyclés
IMP 	Importations
EXP 	Exportations
STK_CHG 	Variation de stock
GAE 	Énergie disponible brute
INTMARB 	Soutages maritimes internationaux
GIC 	Consommation intérieure brute
INTAVI 	Aviation internationale
NRGSUP 	Approvisionnement énergétique total
GIC2020-2030 	Consommation intérieure brute (Europe 2020-2030)
PEC2020-2030 	Consommation d'énergie primaire (Europe 2020-2030)
FEC2020-2030 	Consommation finale d'énergie (Europe 2020-2030)
TI_E 	Entrées en transformation - usage énergétique
TI_EHG_E 	Entrées en transformation - production d'électricité et de chaleur - usage énergétique
TI_EHG_MAPE_E 	Entrées en transformation - production d'électricité et de chaleur - producteur dont l'activité principale est la production d'électricité uniqueme...
TI_EHG_MAPCHP_E 	Entrées en transformation - production d'électricité et de chaleur - producteur dont l'activité principale est la cogénération de chaleur et d'élec...
TI_EHG_MAPH_E 	Entrées en transformation - production d'électricité et de chaleur - producteur dont l'activité principale est la production de chaleur uniquement ...
TI_EHG_APE_E 	Entrées en transformation - production d'électricité et de chaleur - autoproducteur d'électricité uniquement - usage énergétique
TI_EHG_APCHP_E 	Entrées en transformation - production d'électricité et de chaleur - autoproducteur de chaleur et d'électricité combinées - usage énergétique
TI_EHG_APH_E 	Entrées en transformation - production d'électricité et de chaleur - autoproducteur de chaleur uniquement - usage énergétique
TI_EHG_EDHP 	Entrées en transformation - production d'électricité et de chaleur - pompes à chaleur électriques
TI_EHG_EB 	Entrées en transformation - production d'électricité et de chaleur - chaudières électriques
TI_EHG_EPS 	Entrées en transformation - production d'électricité et de chaleur - électricité pour le stockage par pompage
TI_EHG_DHEP 	Entrées en transformation - production d'électricité et de chaleur - chaleur dérivée pour la production d'électricité
TI_CO_E 	Entrées en transformation - fours à coke - usage énergétique
TI_BF_E 	Entrées en transformation - hauts-fourneaux - usage énergétique
TI_GW_E 	Entrées en transformation - usines à gaz - usage énergétique
TI_RPI_E 	Entrées en transformation - raffineries et industrie pétrochimique - usage énergétique
TI_RPI_RI_E 	Entrées en transformation - raffineries et industrie pétrochimique - entrées en raffinerie - usage énergétique
TI_RPI_BPI_E 	Entrées en transformation - raffineries et industrie pétrochimique - retours de l'industrie pétrochimique - usage énergétique
TI_RPI_PT_E 	Entrées en transformation - raffineries et industrie pétrochimique - produits transférés - usage énergétique
TI_RPI_IT_E 	Entrées en transformation - raffineries et industrie pétrochimique - transferts entre produits - usage énergétique
TI_RPI_DU_E 	Entrées en transformation - raffineries et industrie pétrochimique - usage direct - usage énergétique
TI_RPI_PII_E 	Entrées en transformation - raffineries et industrie pétrochimique - entrées en industrie pétrochimique - usage énergétique
TI_PF_E 	Entrées en transformation - fabriques d'agglomérés - usage énergétique
TI_BKBPB_E 	Entrées en transformation - fabriques de briquettes de lignite et briquettes de tourbe - usage énergétique
TI_CL_E 	Entrées en transformation - usines de liquéfaction du charbon - usage énergétique
TI_BNG_E 	Entrées en transformation - pour mélange avec du gaz naturel - usage énergétique
TI_LBB_E 	Entrées en transformation - biocarburants liquides mélangés - usage énergétique
TI_CPP_E 	Entrées en transformation - usines de production de charbon de bois - usage énergétique
TI_GTL_E 	Entrées en transformation - usines de liquéfaction du gaz - usage énergétique
TI_NSP_E 	Entrées en transformation - non spécifiées ailleurs - usage énergétique
TO 	Sorties de transformation
TO_EHG 	Sorties de transformation - production d'électricité et de chaleur
TO_EHG_MAPE 	Sorties de transformation - production d'électricité et de chaleur - producteur dont l'activité principale est la production d'électricité uniquement
TO_EHG_MAPCHP 	Sorties de transformation - production d'électricité et de chaleur - producteur dont l'activité principale est la cogénération de chaleur et d'élec...
TO_EHG_MAPH 	Sorties de transformation - production d'électricité et de chaleur - producteur dont l'activité principale est la production de chaleur uniquement
TO_EHG_APE 	Sorties de transformation - production d'électricité et de chaleur - autoproducteur d'électricité uniquement
TO_EHG_APCHP 	Sorties de transformation - production d'électricité et de chaleur - autoproducteur de chaleur et d'électricité combinées
