id	code	libelle
1	EU27_20	Union européenne - 27 pays (à partir de 2020)
2	EU28	Union européenne - 28 pays (2013-2020)
3	EA19	Zone euro - 19 pays (à partir de 2015)
4	BE	Belgique
5	BG	Bulgarie
6	CZ	Tchéquie
7	DK	Danemark
8	DE	Allemagne jusqu'en 1990 ancien territoire de la RFA
9	EE	Estonie
10	IE	Irlande
11	EL	Grèce
12	ES	Espagne
13	FR	France
14	HR	Croatie
15	IT	Italie
16	CY	Chypre
17	LV	Lettonie
18	LT	Lituanie
19	LU	Luxembourg
20	HU	Hongrie
21	MT	Malte
22	NL	Pays-Bas
23	AT	Autriche
24	PL	Pologne
25	PT	Portugal
26	RO	Roumanie
27	SI	Slovénie
28	SK	Slovaquie
29	FI	Finlande
30	SE	Suède
31	UK	Royaume-Uni
32	IS	Islande
33	NO	Norvège
34	ME	Monténégro
35	MK	Macédoine du Nord
36	AL	Albanie
37	RS	Serbie
38	TR	Turquie
39	BA	Bosnie-Herzégovine
40	XK	Kosovo (selon la résolution 1244/99 du Conseil de sécurité des Nations Unies)
41	MD	Moldavie
42	UA	Ukraine
43	GE	Géorgie
