id	pays_id	annee	population
1	1	1960	354531754
2	2	1960	406731754
3	3	1960	263140292
4	4	1960	9128824
5	5	1960	7829246
6	6	1960	9637840
7	7	1960	4565455
8	8	1960	55257088
9	9	1960	1206362
10	10	1960	2835500
11	11	1960	8300399
12	12	1960	30327000
13	13	1960	0
14	14	1960	4127422
15	15	1960	50025500
16	16	1960	572000
17	17	1960	2104128
18	18	1960	2755600
19	19	1960	313050
20	20	1960	9961044
21	21	1960	327200
22	22	1960	11417254
23	23	1960	7030385
24	24	1960	29479900
25	25	1960	8826040
26	26	1960	18319210
27	27	1960	1580535
28	28	1960	3969682
29	29	1960	4413046
30	30	1960	7471345
31	31	1960	52200000
32	32	1960	173855
33	33	1960	3567707
34	34	1960	0
35	35	1960	1384451
36	36	1960	1583800
37	37	1960	0
38	38	1960	27119962
39	39	1960	3212349
40	40	1960	932500
41	41	1960	0
42	42	1960	0
43	43	1960	0
44	1	1961	357404302
45	2	1961	410004302
46	3	1961	265392392
47	4	1961	9178154
48	5	1961	7905502
49	6	1961	9566172
50	7	1961	4593750
51	8	1961	55958321
52	9	1961	1216712
53	10	1961	2821700
54	11	1961	8363050
55	12	1961	30583000
56	13	1961	0
57	14	1961	4152939
58	15	1961	50373900
59	16	1961	573566
60	17	1961	2137830
61	18	1961	2801500
62	19	1961	314889
63	20	1961	10005980
64	21	1961	325900
65	22	1961	11556008
66	23	1961	7064693
67	24	1961	29795000
68	25	1961	8889392
69	26	1961	18494600
70	27	1961	1588904
71	28	1961	4166507
72	29	1961	4446222
73	30	1961	7497967
74	31	1961	52600000
75	32	1961	177292
76	33	1961	3594771
77	34	1961	0
78	35	1961	1399403
79	36	1961	1633800
80	37	1961	0
81	38	1961	27755078
82	39	1961	3265629
83	40	1961	958000
84	41	1961	0
85	42	1961	0
86	43	1961	0
87	1	1962	360431043
88	2	1962	413431043
89	3	1962	267691048
90	4	1962	9189741
91	5	1962	7980734
92	6	1962	9607129
93	7	1962	4629624
94	8	1962	56589148
95	9	1962	1233441
96	10	1962	2827100
97	11	1962	8433050
98	12	1962	30895500
99	13	1962	0
100	14	1962	4181645
101	15	1962	50698800
102	16	1962	575900
103	17	1962	2167531
104	18	1962	2845600
105	19	1962	318800
106	20	1962	10049935
107	21	1962	324600
108	22	1962	11721416
109	23	1962	7107904
110	24	1962	30133000
111	25	1962	8969240
112	26	1962	18615900
113	27	1962	1599357
114	28	1962	4216827
115	29	1962	4475787
116	30	1962	7542028
117	31	1962	53000000
118	32	1962	180765
119	33	1962	3624829
120	34	1962	0
121	35	1962	1417200
122	36	1962	1685800
123	37	1962	0
124	38	1962	28435197
125	39	1962	3329909
126	40	1962	984500
127	41	1962	0
128	42	1962	0
129	43	1962	0
130	1	1963	364153147
131	2	1963	417653147
132	3	1963	270714128
133	4	1963	9251414
134	5	1963	8045158
135	6	1963	9642191
136	7	1963	4665829
137	8	1963	57247246
138	9	1963	1249804
139	10	1963	2845000
140	11	1963	8463416
141	12	1963	31151231
142	13	1963	0
143	14	1963	4211778
144	15	1963	51060100
145	16	1963	578900
146	17	1963	2195640
147	18	1963	2881100
148	19	1963	322700
149	20	1963	10071715
150	21	1963	323200
151	22	1963	11889962
152	23	1963	7151824
153	24	1963	30484000
154	25	1963	9018730
155	26	1963	18737200
156	27	1963	1607941
157	28	1963	4259549
158	29	1963	4507098
159	30	1963	7581148
160	31	1963	53500000
161	32	1963	183991
162	33	1963	3653006
163	34	1963	0
164	35	1963	1438342
165	36	1963	1736838
166	37	1963	0
167	38	1963	29162545
168	39	1963	3406130
169	40	1963	1009000
170	41	1963	0
171	42	1963	0
172	43	1963	0
173	1	1964	367355615
174	2	1964	421155615
175	3	1964	273072410
176	4	1964	9328126
177	5	1964	8111132
178	6	1964	9699179
179	7	1964	4703136
180	8	1964	57864509
181	9	1964	1267910
182	10	1964	2860300
183	11	1964	8495834
184	12	1964	31442070
185	13	1964	0
186	14	1964	4239572
187	15	1964	51443900
188	16	1964	585500
189	17	1964	2226198
190	18	1964	2916800
191	19	1964	325500
192	20	1964	10104179
193	21	1964	321900
194	22	1964	12041970
195	23	1964	7199798
196	24	1964	30940000
197	25	1964	9041980
198	26	1964	18858500
199	27	1964	1626000
200	28	1964	4304484
201	29	1964	4539519
202	30	1964	7627507
203	31	1964	53800000
204	32	1964	187314
205	33	1964	3680068
206	34	1964	0
207	35	1964	1461522
208	36	1964	1788404
209	37	1964	0
210	38	1964	29939582
211	39	1964	3480448
212	40	1964	1033500
213	41	1964	0
214	42	1964	0
215	43	1964	0
216	1	1965	370521157
217	2	1965	424721157
218	3	1965	275430651
219	4	1965	9428100
220	5	1965	8177547
221	6	1965	9756429
