id	pays_id	annee	quantite_tep
1	1	2009	60496.545
2	2	2009	69356.132
3	3	2009	39139.193999999996
4	4	2009	445.228
5	5	2009	1814.531
6	6	2009	3950.645
7	7	2009	1520.808
8	8	2009	21792.347
9	9	2009	
10	10	2009	344.309
11	11	2009	2939.639
12	12	2009	3087.704
13	13	2009	1863.027
14	14	2009	142.562
15	15	2009	3417.455
16	16	2009	
17	17	2009	0.172
18	18	2009	
19	19	2009	
20	20	2009	545.1419999999999
21	21	2009	
22	22	2009	2087.532
23	23	2009	323.17400000000004
24	24	2009	11469.39
25	25	2009	1108.856
26	26	2009	1869.991
27	27	2009	441.273
28	28	2009	331.47
29	29	2009	957.008
30	30	2009	44.282
31	31	2009	8859.587
32	32	2009	
33	33	2009	3.525
34	34	2009	59.243
35	35	2009	456.148
36	36	2009	
37	37	2009	2309.2
38	38	2009	4662.855
39	39	2009	
40	40	2009	416.251
41	41	2009	
42	42	2009	5414.015
43	43	2009	
44	1	2010	60294.939000000006
45	2	2010	69546.358
46	3	2010	38510.932
47	4	2010	360.87699999999995
48	5	2010	1943.766
49	6	2010	4032.6740000000004
50	7	2010	1462.253
51	8	2010	22605.072999999997
52	9	2010	
53	10	2010	305.651
54	11	2010	2648.065
55	12	2010	2178.3320000000003
56	13	2010	2008.5120000000002
57	14	2010	205.07299999999998
58	15	2010	3416.509
59	16	2010	
60	17	2010	0.172
61	18	2010	
62	19	2010	
63	20	2010	536.028
64	21	2010	
65	22	2010	1942.2179999999998
66	23	2010	422.909
67	24	2010	11738.091
68	25	2010	610.49
69	26	2010	1778.246
70	27	2010	454.686
71	28	2010	306.965
72	29	2010	1250.473
73	30	2010	87.876
74	31	2010	9251.419
75	32	2010	
76	33	2010	3.611
77	34	2010	109.37200000000001
78	35	2010	407.825
79	36	2010	
80	37	2010	2151.505
81	38	2010	4589.682
82	39	2010	
83	40	2010	428.977
84	41	2010	
85	42	2010	5787.016
86	43	2010	
87	1	2011	62359.39599999999
88	2	2011	71683.73
89	3	2011	39791.898
90	4	2011	298.882
91	5	2011	2367.756
92	6	2011	4014.187
93	7	2011	1201.72
94	8	2011	22568.357999999997
95	9	2011	
96	10	2011	339.189
97	11	2011	2670.937
98	12	2011	3781.599
99	13	2011	1531.165
100	14	2011	222.012
101	15	2011	3845.744
102	16	2011	
103	17	2011	0.172
104	18	2011	
105	19	2011	
106	20	2011	557.438
107	21	2011	
108	22	2011	1839.2089999999998
109	23	2011	467.029
110	24	2011	12017.025
111	25	2011	846.7760000000001
112	26	2011	2130.868
113	27	2011	456.32
114	28	2011	305.589
115	29	2011	840.929
116	30	2011	56.492
117	31	2011	9324.334
118	32	2011	
119	33	2011	3.353
120	34	2011	124.85
121	35	2011	444.454
122	36	2011	
123	37	2011	2468.96
124	38	2011	5553.654
125	39	2011	
126	40	2011	487.962
127	41	2011	
128	42	2011	6374.893
129	43	2011	
130	1	2012	63861.407
131	2	2012	76139.395
132	3	2012	42887.03
133	4	2012	291.402
134	5	2012	1966.9820000000002
135	6	2012	3781.427
136	7	2012	906.191
137	8	2012	23751.333
138	9	2012	
139	10	2012	432.017
140	11	2012	2675.752
141	12	2012	4735.512
142	13	2012	1844.366
143	14	2012	192.433
144	15	2012	4225.365
145	16	2012	
146	17	2012	0.172
147	18	2012	
148	19	2012	
149	20	2012	545.486
150	21	2012	
151	22	2012	2081.857
152	23	2012	377.286
153	24	2012	11571.195
154	25	2012	1125.279
155	26	2012	1969.132
