id	pays_id	annee	quantite_tep
1	1	2009	51552.227999999996
2	2	2009	54039.77
3	3	2009	39937.608
4	4	2009	590.5980000000001
5	5	2009	369.767
6	6	2009	447.811
7	7	2009	865.262
8	8	2009	8735.082
9	9	2009	46.458999999999996
10	10	2009	383.855
11	11	2009	727.0880000000001
12	12	2009	6606.276999999999
13	13	2009	6417.02
14	14	2009	651.132
15	15	2009	6325.07
16	16	2009	2.64
17	17	2009	305.681
18	18	2009	120.286
19	19	2009	85.527
20	20	2009	248.9
21	21	2009	
22	22	2009	931.6439999999999
23	23	2009	4294.92
24	24	2009	797.763
25	25	2009	1635.078
26	26	2009	1360.8039999999999
27	27	2009	421.912
28	28	2009	442.525
29	29	2009	1865.9460000000001
30	30	2009	6873.181
31	31	2009	2487.542
32	32	2009	1447.374
33	33	2009	10944.196000000002
34	34	2009	178.074
35	35	2009	109.23
36	36	2009	447.20599999999996
37	37	2009	958.212
38	38	2009	3279.547
39	39	2009	
40	40	2009	10.318
41	41	2009	
42	42	2009	1041.935
43	43	2009	
44	1	2010	58628.867
45	2	2010	61150.949
46	3	2010	45552.691
47	4	2010	675.015
48	5	2010	552.364
49	6	2010	558.406
50	7	2010	1068.7169999999999
51	8	2010	9594.153
52	9	2010	89.758
53	10	2010	335.825
54	11	2010	906.852
55	12	2010	8682.992
56	13	2010	7137.404
57	14	2010	808.6469999999999
58	15	2010	6900.625
59	16	2010	6.297999999999999
60	17	2010	312.548
61	18	2010	143.248
62	19	2010	140.014
63	20	2010	259.629
64	21	2010	0.057999999999999996
65	22	2010	962.74
66	23	2010	4143.8820000000005
67	24	2010	985.122
68	25	2010	2472.105
69	26	2010	1776.4279999999999
70	27	2010	424.135
71	28	2010	544.621
72	29	2010	2080.4179999999997
73	30	2010	7066.863
74	31	2010	2522.0820000000003
75	32	2010	1466.6729999999998
76	33	2010	10179.278
77	34	2010	236.457
78	35	2010	209.071
79	36	2010	650.645
80	37	2010	1080.911
81	38	2010	4790.4490000000005
82	39	2010	
83	40	2010	13.5
84	41	2010	6.792999999999999
85	42	2010	1151.4189999999999
86	43	2010	
87	1	2011	57692.693
88	2	2011	60970.325
89	3	2011	44857.78
90	4	2011	825.79
91	5	2011	404.86699999999996
92	6	2011	683.2769999999999
93	7	2011	1219.3339999999998
94	8	2011	11167.498
95	9	2011	101.43799999999999
96	10	2011	466.345
97	11	2011	722.921
98	12	2011	7724.592
99	13	2011	6119.954000000001
100	14	2011	465.793
101	15	2011	7299.7119999999995
102	16	2011	15.323
103	17	2011	264.597
104	18	2011	145.188
105	19	2011	112.92200000000001
106	20	2011	232.863
107	21	2011	0.851
108	22	2011	1059.345
109	23	2011	3822.112
110	24	2011	1166.572
111	25	2011	2122.9339999999997
112	26	2011	1421.408
113	27	2011	345.95300000000003
114	28	2011	461.495
115	29	2011	2078.81
116	30	2011	7240.799
117	31	2011	3277.632
118	32	2011	1479.648
119	33	2011	10591.143999999998
120	34	2011	103.51299999999999
121	35	2011	123.32700000000001
122	36	2011	355.288
123	37	2011	794.755
124	38	2011	4995.6720000000005
125	39	2011	
126	40	2011	9.02
127	41	2011	6.535
128	42	2011	962.9839999999999
129	43	2011	
130	1	2012	65027.849
131	2	2012	68829.735
132	3	2012	50520.665
133	4	2012	1011.186
134	5	2012	522.4680000000001
135	6	2012	756.345
136	7	2012	1275.772
137	8	2012	12823.473999999998
138	9	2012	126.954
139	10	2012	470.167
140	11	2012	889.0010000000001
141	12	2012	7788.36
142	13	2012	7750.414000000001
143	14	2012	466.376
144	15	2012	8099.869000000001
145	16	2012	22.084
146	17	2012	353.37699999999995
147	18	2012	145.881
148	19	2012	117.728
149	20	2012	227.486
150	21	2012	2.206
151	22	2012	1073.152
152	23	2012	4748.2390000000005
153	24	2012	1488.156
154	25	2012	1754.9660000000001
155	26	2012	1306.694
156	27	2012	388.389
